,JID,RAdeg,DEdeg,z,TType,Bar,Ring,FRing,RC3
1,J155146.83-000618.62,237.946,-0.105,0.055,-5.0,0.0,0.0,0.0,999999
2,J154453.22+002415.48,236.222,0.405,0.034,-2.0,0.0,0.0,0.0,999999
3,J154711.32+002424.81,236.798,0.407,0.033,4.0,0.0,0.0,0.0,999999
4,J154514.39+004619.89,236.31,0.773,0.013,5.0,0.0,0.0,0.0,.SAS7?.
5,J155255.43+004304.87,238.231,0.719,0.033,-5.0,0.0,0.0,0.0,999999
7,J110122.00-010824.89,165.342,-1.14,0.074,-5.0,0.0,0.0,0.0,999999
8,J112000.06-010711.96,170.001,-1.119,0.025,99.0,0.0,0.0,0.0,999999
10,J113057.91-010851.06,172.742,-1.147,0.049,-2.0,0.0,0.0,0.0,999999
12,J114901.91-010609.35,177.258,-1.102,0.02,99.0,0.0,0.0,0.0,.S..3*.
13,J115927.23-010918.48,179.864,-1.155,0.021,5.0,0.0,0.0,0.0,.SB.7?/
14,J120155.64-010409.34,180.482,-1.069,0.021,1.0,0.0,0.0,0.0,.SAR4*/
15,J121808.55-010350.82,184.536,-1.064,0.019,3.0,0.0,0.0,0.0,.SXT4..
16,J124159.07-011043.98,190.497,-1.178,0.024,6.0,2.0,0.0,0.0,PSBS2..
17,J124257.26-011345.93,190.739,-1.229,0.011,5.0,0.0,0.0,0.0,.SAS6*/
18,J124752.98-011109.04,191.971,-1.185,0.024,5.0,0.0,0.0,0.0,.S..7*/
19,J124859.91-010935.43,192.25,-1.159,0.089,0.0,0.0,0.0,0.0,999999
20,J130705.63-011036.63,196.774,-1.176,0.019,3.0,0.0,0.0,0.0,999999
21,J131236.98-011151.02,198.155,-1.197,0.086,3.0,0.0,0.0,0.0,999999
22,J133255.12-010934.06,203.23,-1.159,0.013,3.0,0.0,0.0,0.0,.S?....
23,J133913.25-010715.31,204.806,-1.12,0.015,99.0,0.0,0.0,0.0,999999
24,J140722.05-010546.97,211.842,-1.096,0.056,0.0,0.0,0.0,0.0,999999
25,J142529.44-010358.24,216.373,-1.066,0.056,3.0,4.0,0.0,0.0,999999
26,J110127.21-004305.93,165.364,-0.718,0.045,-2.0,0.0,0.0,0.0,999999
27,J110431.98-004349.84,166.134,-0.73,0.02,-3.0,0.0,0.0,0.0,.L.....
29,J111116.91-004927.03,167.821,-0.824,0.065,-5.0,0.0,0.0,0.0,999999
30,J112023.63-004759.77,170.099,-0.799,0.068,-5.0,0.0,0.0,0.0,999999
31,J112326.98-004248.85,170.863,-0.713,0.041,-5.0,0.0,0.0,0.0,999999
32,J112535.07-004605.66,171.397,-0.768,0.026,-5.0,0.0,0.0,0.0,.L..0*.
33,J113245.43-004427.63,173.19,-0.741,0.023,6.0,0.0,0.0,0.0,.SBS9..
34,J115537.98-004614.26,178.909,-0.77,0.065,4.0,2.0,0.0,0.0,999999
36,J121411.31-004953.68,183.548,-0.831,0.025,3.0,0.0,0.0,0.0,.SXS5?.
37,J121649.10-004430.47,184.205,-0.741,0.071,-5.0,0.0,0.0,0.0,999999
38,J121752.89-003926.02,184.471,-0.657,0.03,2.0,0.0,0.0,0.0,.LA.0?.
39,J124632.10-003836.77,191.634,-0.643,0.083,0.0,0.0,0.0,0.0,999999
40,J125715.15-003927.52,194.314,-0.657,0.024,1.0,0.0,0.0,0.0,999999
41,J130203.58-005012.35,195.515,-0.836,0.085,-5.0,0.0,0.0,0.0,999999
42,J130850.11-004902.35,197.209,-0.817,0.018,-5.0,0.0,0.0,0.0,999999
43,J130855.34-004805.77,197.231,-0.801,0.02,1.0,8.0,0.0,0.0,999999
45,J132234.88-004046.99,200.646,-0.679,0.046,1.0,8.0,0.0,0.0,999999
46,J135756.80-004000.69,209.487,-0.666,0.07,1.0,8.0,0.0,0.0,999999
49,J140800.52-004918.52,212.003,-0.821,0.055,-5.0,0.0,0.0,0.0,999999
51,J141215.60-003758.88,213.066,-0.633,0.026,5.0,0.0,0.0,0.0,999999
52,J141224.85-004955.26,213.104,-0.832,0.027,-5.0,0.0,0.0,0.0,999999
53,J141500.62-004749.02,213.753,-0.796,0.039,-5.0,0.0,0.0,0.0,999999
54,J141628.95-004437.96,214.121,-0.743,0.049,4.0,8.0,0.0,0.0,999999
55,J142149.76-004638.82,215.458,-0.777,0.055,-3.0,0.0,0.0,0.0,999999
56,J142410.99-004044.07,216.046,-0.678,0.051,3.0,68.0,0.0,0.0,999999
57,J150546.87-004253.70,226.446,-0.714,0.036,5.0,0.0,0.0,0.0,.S..8*.
58,J150930.19-004616.20,227.376,-0.771,0.038,3.0,0.0,0.0,0.0,999999
59,J151751.57-004735.54,229.465,-0.793,0.038,-5.0,0.0,0.0,0.0,999999
60,J151746.49-004634.03,229.444,-0.776,0.037,5.0,0.0,0.0,0.0,999999
