072420.75   +420900.6  2MASX J07242070+4209004       2193308  108110  0.057               SB        (r,bl)        Sab    2  1.00  SB(r,bl)ab:
072505.49   +412537.8  2MASX J07250545+4125376       2180937  107884  0.109  (R2PL)       SB        (s)           Sa     1  1.00  (R2PL)SB(s)a
072717.73   +434705.6  2MASX J07271769+4347053       2229046  109317  0.056  (RP)         SA        (l)           S0/a   0  0.00  (RP)SA(l)0/a
072853.14   +411828.1  2MASX J07285313+4118282       2179018  107367  0.058  (R1)         SAB_a     (rs)          S0/a   0  0.50  (R1)SAB_a(rs)0/a
073014.69   +355106.8  2MASX J07301470+3551069       3721760   11644  ---    (RP)         SB        (r)           Sa     1  1.00  (RP)SB(r)a
073125.20   +364631.2  2MASX J07312520+3646309       2086754    9571  0.059  (R2P)        S_AB      (l)           Sa     1  0.25  (R2P)S_AB(l)a
073126.42   +355732.1  2MASX J07312646+3557323       3721973    9171  ---    (R2P)        SAB_a     (l)           Sa     1  0.50  (R2P)SAB_a(l)a
073137.60   +432952.8  2MASX J07313762+4329525       2222182  108904  0.126  (R2P)        SAB       (l)           S0/a   0  0.50  (R2P)SAB(l)0/a:
073223.98   +401245.0  2MASX J07322401+4012443       2162405  106708  0.116  (R1P)        SAB       (r)           Sab    2  0.50  (R1P)SAB(r)ab:
073457.61   +414425.9  2MASX J07345763+4144261       2186051  105775  0.081               SA        (rs)          Sb     3  0.00  SA(rs)b:
073547.18   +381031.2  2MASX J07354716+3810311       2119877    9585  0.073  (R2P)        S_AB      (l)           Sa     1  0.25  (R2P)S_AB(l)a:
073631.82   +383058.3  2MASX J07363185+3830585       3441140    9587  0.073  (RP)         SAB       (r)           Sab    2  0.50  (RP)SAB(r)ab:
073642.51   +291817.6  2MASX J07364249+2918181       1862128   27499  0.089  (RL)         S_AB      (l)           S0+   -1  0.25  (RL)S_AB(l)0^+^
073746.30   +465706.4  2MASX J07374632+4657062       3723004  109152  0.127               SA        (r)           Sa     1  0.00  SA(r)a:
073753.68   +295102.9  2MASX J07375367+2951031       1880523   27511  0.097  (R1P)        SAB_a     (irpl)        Sab    2  0.50  (R1P)SAB_a(irpl)ab
073929.81   +480501.2  2MASX J07392981+4805009       2310166  108154  0.120               SB        (r)           Sb     3  1.00  SB(r)b:
073941.88   +455445.4  2MASX J07394188+4554456       2272351  107685  0.032  (L)          SB_a      (r,bl)        S0/a   0  1.00  (L)SB_a(r,bl)0/a
074002.77   +305258.1  2MASX J07400274+3052581       1922101   26608  0.096  (RP:)        SAB       (r)           S0/a   0  0.50  (RP:)SAB(r)0/a
074013.23   +295453.6  2MASX J07401321+2954539       1882922   27297  0.035  (R1P)        SAB       (rs)          Sa     1  0.50  (R1P)SAB(rs)a
074018.12   +282751.5  2MASX J07401809+2827519       3406492   48128  0.022  (RP,L)       SA        (_rs)         Sab    2  0.00  (RP,L)SA(_rs)ab
074109.67   +405956.4  2MASX J07410967+4059563       3087899    9951  0.042  (R1R2P)      SAB_a     (l)           Sa     1  0.50  (R1R2P)SAB_a(l)a
074112.11   +472721.9  2MASX J07411216+4727222       2298536  107940  0.137               SA        (rl)          Sab    2  0.00  SA(rl)ab:
074118.54   +341347.7  SDSS J074118.53+341347.6      4531266   24371  ---    (R1P)        SB        (p,_rs,bl)    Sab    2  1.00  (R1P)SB(p,_rs,bl)ab
074140.07   +474116.9  2MASX J07414006+4741170       3723567  107942  0.134  (R2P)        SAB_a     (l)           Sab    2  0.50  (R2P)SAB_a(l)ab:
074203.70   +225401.1  2MASX J07420370+2254006       3442895   52605  0.081  (R2P)        SB        (r,bl)        Sb     3  1.00  (R2P)SB(r,bl)b
074216.57   +485923.8  SDSS J074216.56+485923.7      2330596  108170  0.094  (R1P)        SB        (r)           Sb     3  1.00  (R1P)SB(r)b:
074226.34   +222054.0  2MASX J07422634+2220541       3442920   52484  0.079  (R1R2P)      SAB       (s)           Sb     3  0.50  (R1R2P)SAB(s)b
074242.49   +224252.6  2MASX J07424245+2242530       1674859   53028  0.106               SA        (rl)          S0+   -1  0.00  SA(rl)0^+^
074328.59   +502850.5  2MASX J07432851+5028505       2374272  109558  0.126               SA        (rl)          Sbc    4  0.00  SA(rl)bc
074350.34   +493651.1  IC 0472                         21665  109367  0.019  (R)          SA_B_a    (r_s,bl)      Sab    2  0.75  (R)SA_B_a(r_s,bl)ab
074423.51   +443139.9  2MASX J07442348+4431401       2246264  106749  0.050  (R1P)        SB        (r,bl)        Sa     1  1.00  (R1P)SB(r,bl)a
074452.53   +373852.7  2MASX J07445255+3738525       2105948  191288  0.074               SAB       (irpl)        S0+   -1  0.50  SAB(irpl)0^+^: pec
074507.25   +460420.7  UGC 04000                       21708  106009  0.032  (RP)         SAB_a     (_rs,bl)      Sb     3  0.50  (RP)SAB_a(_rs,bl)b pec
074534.44   +302219.9  2MASX J07453442+3022206       1901118   47558  0.057  (R)          SAB                     S0/a   0  0.50  (R)SAB0/a:
074604.02   +253718.8  2MASX J07460400+2537188       1743278  204111  0.104  (RP)         S_AB                    Sab    2  0.25  (RP)S_ABab:
074632.93   +310121.7  2MASX J07463295+3101213       1928128   48325  0.054  (R1)         SAB       (_rs,bl)      Sab    2  0.50  (R1)SAB(_rs,bl)ab
074759.74   +190540.3  CGCG 087-038                    21825  205590  0.045  (RP)         SAB                     Sbc    4  0.50  (RP)SABbc pec
074802.53   +184855.6  SDSS J074802.52+184855.5      1571241  206139  0.053  (RPL)        S_AB      (l)           Sa     1  0.25  (RPL)S_AB(l)a
074807.16   +223728.1  2MASX J07480718+2237280       1673295   74381  0.077  (RP)         SAB                     Sb     3  0.50  (RP)SABb:
074808.87   +324933.7  2MASX J07480882+3249337       2013808   27533  0.080               SAB       (_rs)         Sa     1  0.50  SAB(_rs)a
074825.55   +171028.7  SDSS J074825.55+171028.6      4081939  109762  0.088  (RP)         SA                      Sd     7  0.00  (RP)SAd: pec
074844.23   +521329.7  2MASX J07484418+5213298       2409705  109578  0.069  (RP)         SA_B_a    (rl)          Sa     1  0.75  (RP)SA_B_a(rl)a
074848.28   +295009.1  2MASX J07484826+2950091       1879940   47282  0.064  (RP)         SA        (l)           S0/a   0  0.00  (RP)SA(l)0/a
074908.89   +180723.1  2MASX J07490892+1807226       3724484  115735  0.098  (R2P)        SAB       (l)           Sa     1  0.50  (R2P)SAB(l)a
074952.12   +332607.7  2MASX J07495215+3326082       2031999   27537  0.120               SA        (rl)          S0+   -1  0.00  SA(rl)0^+^:
074953.95   +512411.7  2MASX J07495399+5124115       2393512  109379  0.069  (RP)         SA        (l)           Sa     1  0.00  (RP)SA(l)a:
075000.02   +300129.8  UGC 04042                       21927   47291  0.028  (R1P)        SB        (_rs,bl)      Sab    2  1.00  (R1P)SB(_rs,bl)ab
075021.48   +335305.8  2MASX J07502145+3353060       2040463   26629  0.062  (RP)         SA        (l)           Sa     1  0.00  (RP)SA(l)a
075049.21   +410850.8  2MASX J07504920+4108510       2176440    7318  0.087  (RP)         SAB                     Sb     3  0.50  (RP)SABb:
075052.96   +212143.1  2MASX J07505294+2121432       1648451   77866  0.121  (RP)         SAB       (_rs)         Sb     3  0.50  (RP)SAB(_rs)b: pec
075056.22   +481846.0  KUG 0747+484                      ---  107176  0.022  (RL)         SAB_a     (l)           S0+   -1  0.50  (RL)SAB_a(l)0^+^
075100.59   +364302.0  2MASX J07510060+3643020       2085645   21768  0.112  (R1)         SAB_a     (l)           S0+   -1  0.50  (R1)SAB_a(l)0^+^
075101.35   +231232.7  2MASX J07510133+2312331       1683363   74387  0.045  (R1R2P)      SA        (l)           Sa     1  0.00  (R1R2P)SA(l)a:
075128.28   +334454.3  2MASX J07512829+3344541       2038111   27541  0.148  (RP)         SAB       (s)           Sb     3  0.50  (RP)SAB(s)b pec
075138.74   +302427.3  2MASX J07513874+3024270       1902561   47786  0.117  (R2P)        SAB       (s)           Sa     1  0.50  (R2P)SAB(s)a:
075153.89   +194454.2  2MASX J07515386+1944537       3521633  205612  0.061               SA        (r,r)         Sb     3  0.00  SA(r,r)b: pec
075200.25   +163349.5  2MASX J07520023+1633497       3724857  120597  0.055  (R2P)        SAB_a     (rl)          Sbc    4  0.50  (R2P)SAB_a(rl)bc
075208.54   +145908.5  2MASX J07520855+1459087       1472225  126478  0.056  (R2P)        SAB       (l)           Sa     1  0.50  (R2P)SAB(l)a
075212.77   +284621.2  2MASX J07521272+2846213       1845492   44525  0.064               SB        (r,bl)        Sab    2  1.00  SB(r,bl)ab pec
075219.81   +174210.4  2MASX J07521978+1742105       1539380  109770  0.097  (R2P)        SAB       (l)           Sb     3  0.50  (R2P)SAB(l)b
075234.33   +292049.8  SDSS J075234.32+292049.7      3444084   44742  0.060  (RP)         SA_B                    Sc     5  0.75  (RP)SA_Bc pec
075235.13   +244832.6  2MASX J07523508+2448322       1717024   53039  0.092  (R)          S_AB      (l)           S0+   -1  0.25  (R)S_AB(l)0^+^:
075236.87   +522422.1  2MASX J07523687+5224221       2414133  109391  0.052  (R)          SB        (r)           Sa     1  1.00  (R)SB(r)a
075241.27   +523348.5  2MASX J07524123+5233479       2418109  109395  0.103  (R2P)        SAB       (s)           Sa     1  0.50  (R2P)SAB(s)a:
075255.23   +150824.5  2MASX J07525521+1508249       1476379  126487  0.050  (R2P)        S_AB      (s)           Sb     3  0.25  (R2P)S_AB(s)b
075302.43   +165334.5  2MASX J07530246+1653349       3724963  118706  0.045               SA_B      (rs)          Sbc    4  0.75  SA_B(rs)bc
075308.93   +500750.4  CGCG 236-009                    22075  107713  0.019  (R)          SB        (p,r,bl)      Sa     1  1.00  (R)SB(p,r,bl)a
075317.75   +272738.6  CGCG 148-054                    22083  204126  0.027  (RPL)        SA_B_a    (_rs,bl)      S0/a   0  0.75  (RPL)SA_B_a(_rs,bl)0/a
075412.61   +522804.6  KUG 0750+525                      ---  108206  0.041  (R2P)        SAB       (r)           Sb     3  0.50  (R2P)SAB(r)b
