angDist,_RAJ2000,_DEJ2000,recno,RAJ2000,DEJ2000,Names,PGCName,FILEN,z,OV,Fam,IV,ST,T,F,CVRHS,SimbadName,NED,SDSS,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,q_mode,cl,m_SDSS,flags,ObsDate,Q,zsp,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag
0.01895,114.9245,45.9126111,17,07 39 41.88,+45 54 45.4,2MASX J07394188+4554456,2272351.0,107685,0.032,(L),SB_a,"(r,bl)",S0/a,0,1.0,"(L)SB_a(r,bl)0/a",2MASX J07394188+4554456,NED,J073941.87+455445.3,114.924493,45.912609,0.051,0.051,45,,3,,0000001010021010,2003.8859,3,0.03201,17.306,0.02,15.272,0.003,14.333,0.002,13.886,0.002,13.513,0.003
0.139262,115.0755,28.4643056,20,07 40 18.12,+28 27 51.5,2MASX J07401809+2827519,3406492.0,48128,0.022,"(RP,L)",SA,(_rs),Sab,2,0.0,"(RP,L)SA(_rs)ab",2MASX J07401809+2827519,NED,J074018.11+282751.5,115.075465,28.464329,0.059,0.057,135,,3,,0004000010021010,2001.9665,3,,16.248,0.01,15.019,0.002,14.414,0.002,14.101,0.002,13.853,0.004
0.048554,115.32725,34.2299167,23,07 41 18.54,+34 13 47.7,SDSS J074118.53+341347.6,4531266.0,24371,,(R1P),SB,"(p,_rs,bl)",Sab,2,1.0,"(R1P)SB(p,_rs,bl)ab",IC 2204,NED,J074118.53+341347.6,115.327234,34.229914,0.073,0.067,144,,3,,00004008100A1010,2001.0714,2,,16.622,0.018,15.012,0.003,14.343,0.003,14.002,0.004,13.865,0.017
0.112673,115.95975,49.6141944,30,07 43 50.34,+49 36 51.1,IC 0472,21665.0,109367,0.019,(R),SA_B_a,"(r_s,bl)",Sab,2,0.75,"(R)SA_B_a(r_s,bl)ab",IC 472,NED,J074350.35+493651.1,115.959796,49.614204,0.058,0.058,135,,3,,0000901010021210,2003.9133,2,0.01888,16.35,0.015,14.103,0.002,13.181,0.002,12.742,0.002,12.476,0.003
0.094728,116.0979583,44.52775,31,07 44 23.51,+44 31 39.9,2MASX J07442348+4431401,2246264.0,106749,0.05,(R1P),SB,"(r,bl)",Sa,1,1.0,"(R1P)SB(r,bl)a",2MASX J07442348+4431401,NED,J074423.50+443139.8,116.097927,44.527736,0.061,0.058,56,,3,,0000001010021010,2003.8122,3,0.04968,17.634,0.024,15.676,0.003,14.764,0.003,14.343,0.003,13.995,0.005
0.031136,116.2802083,46.0724167,33,07 45 07.25,+46 04 20.7,UGC 04000,21708.0,106009,0.032,(RP),SAB_a,"(_rs,bl)",Sb,3,0.5,"(RP)SAB_a(_rs,bl)b pec",UGC 4000,NED,J074507.25+460420.6,116.280214,46.072409,0.051,0.048,144,,3,,0000001010020010,2003.8095,3,0.0313,16.482,0.013,14.71,0.002,13.887,0.002,13.452,0.002,13.145,0.003
0.15285,116.6372083,31.0226944,36,07 46 32.93,+31 01 21.7,2MASX J07463295+3101213,1928128.0,48325,0.054,(R1),SAB,"(_rs,bl)",Sab,2,0.5,"(R1)SAB(_rs,bl)ab",2MASX J07463295+3101213,NED,J074632.92+310121.5,116.637181,31.022659,0.065,0.051,141,,3,,0000000010021010,2001.9665,3,0.05359,17.603,0.03,15.602,0.003,14.736,0.003,14.3,0.003,13.965,0.004
0.02475,116.9989167,19.0945278,37,07 47 59.74,+19 05 40.3,CGCG 087-038,21825.0,205590,0.045,(RP),SAB,,Sbc,4,0.5,(RP)SABbc pec,2MASX J07475971+1905400,NED,J074759.74+190540.2,116.998918,19.094521,0.047,0.045,135,,3,,0000001010021010,2003.0777,2,0.04483,17.688,0.023,15.777,0.003,14.914,0.002,14.495,0.002,14.141,0.005
0.025682,117.5000833,30.0249444,47,07 50 00.02,+30 01 29.8,UGC 04042,21927.0,47291,0.028,(R1P),SB,"(_rs,bl)",Sab,2,1.0,"(R1P)SB(_rs,bl)ab",UGC 4042,NED,J075000.02+300129.7,117.500091,30.024942,0.06,0.055,140,,3,,0000000010021010,2001.9642,3,0.02758,16.362,0.013,14.568,0.002,13.711,0.002,13.276,0.002,12.97,0.003
0.079287,117.5895,33.8849444,48,07 50 21.48,+33 53 05.8,2MASX J07502145+3353060,2040463.0,26629,0.062,(RP),SA,(l),Sa,1,0.0,(RP)SA(l)a,2MASX J07502145+3353060,NED,J075021.47+335305.8,117.589476,33.884954,0.064,0.048,142,,3,,00000000100A1010,2001.142,3,0.06223,17.683,0.026,15.727,0.003,14.839,0.003,14.388,0.003,14.049,0.006
