RAh,RAM,RAs,DE-,DEd,DEm,DEs,Names,PGCName,FILEN,z,OV,Fam,IV,ST,T,F,CVRHS,RA,coord,RAdeg,DECdeg,SDSS,RAdeg_x,DEdeg,errHalfMaj,errHalfMin,errPosAng,q_mode,cl,m_SDSS,flags,ObsDate,Q,zsp,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,angDist
7,24,20.75,+,42,9,0.6,2MASX J07242070+4209004,2193308,8110,0.057,,SB,"(r,bl)",Sab,2,1.0,"SB(r,bl)ab:",7 24 20.75 +42 9 0.6,7 24 20.75 +42 9 0.6,111.08645833333333,42.150166666666664,J072420.75+420900.5,111.086457,42.150156,0.065,0.05,156.0,,3,,0000001090021110,2003.8858,3,0.05739,18.774,0.067,16.961,0.006,16.055,0.004,15.603,0.004,15.221,0.011,0.038485
7,25,5.49,+,41,25,37.8,2MASX J07250545+4125376,2180937,7884,0.109,(R2PL),SB,(s),Sa,1,1.0,(R2PL)SB(s)a,7 25 5.49 +41 25 37.8,7 25 5.49 +41 25 37.8,111.27287499999998,41.427166666666665,J072505.49+412537.7,111.272875,41.427146,0.067,0.061,156.0,,3,,0000001090021110,2003.8858,3,0.10883,19.701,0.077,17.737,0.007,16.717,0.005,16.263,0.005,15.919,0.011,0.074552
7,27,17.73,+,43,47,5.6,2MASX J07271769+4347053,2229046,9317,0.056,(RP),SA,(l),S0/a,0,0.0,(RP)SA(l)0/a,7 27 17.73 +43 47 5.6,7 27 17.73 +43 47 5.6,111.82387499999999,43.78488888888889,J072717.72+434705.5,111.823858,43.784872,0.065,0.064,164.0,,3,,0000001890021110,2003.9133,3,0.05645,18.326,0.033,16.503,0.004,15.583,0.003,15.068,0.003,14.707,0.006,0.074963
7,28,53.14,+,41,18,28.1,2MASX J07285313+4118282,2179018,7367,0.058,(R1),SAB_a,(rs),S0/a,0,0.5,(R1)SAB_a(rs)0/a,7 28 53.14 +41 18 28.1,7 28 53.14 +41 18 28.1,112.22141666666666,41.307805555555554,J072853.13+411828.0,112.221391,41.307796,0.059,0.053,68.0,,3,,0000001010021010,2003.8395,3,0.05847,18.567,0.051,16.619,0.005,15.673,0.004,15.206,0.003,14.862,0.007,0.077554
7,30,14.69,+,35,51,6.8,2MASX J07301470+3551069,3721760,11644,---,(RP),SB,(r),Sa,1,1.0,(RP)SB(r)a,7 30 14.69 +35 51 6.8,7 30 14.69 +35 51 6.8,112.56120833333331,35.851888888888894,J073014.69+355106.7,112.56121,35.851886,0.062,0.056,154.0,,3,,00000000100A0010,2000.3153,2,,18.551,0.081,16.335,0.006,15.471,0.004,15.071,0.004,14.764,0.011,0.011269
7,31,25.2,+,36,46,31.2,2MASX J07312520+3646309,2086754,9571,0.059,(R2P),S_AB,(l),Sa,1,0.25,(R2P)S_AB(l)a,7 31 25.2 +36 46 31.2,7 31 25.2 +36 46 31.2,112.85499999999998,36.775333333333336,J073125.20+364631.3,112.855021,36.775369,0.058,0.053,61.0,,3,,0000000010020010,2000.2632,3,0.05923,18.369,0.029,16.441,0.004,15.553,0.003,15.112,0.003,14.764,0.006,0.142119
7,31,26.42,+,35,57,32.1,2MASX J07312646+3557323,3721973,9171,---,(R2P),SAB_a,(l),Sa,1,0.5,(R2P)SAB_a(l)a,7 31 26.42 +35 57 32.1,7 31 26.42 +35 57 32.1,112.86008333333331,35.95891666666667,J073126.42+355732.0,112.860094,35.958906,0.061,0.061,0.0,,3,,0000000010020210,2000.2632,3,,17.515,0.014,16.116,0.003,15.366,0.003,14.961,0.003,14.644,0.005,0.049381
7,31,37.6,+,43,29,52.8,2MASX J07313762+4329525,2222182,8904,0.126,(R2P),SAB,(l),S0/a,0,0.5,(R2P)SAB(l)0/a:,7 31 37.6 +43 29 52.8,7 31 37.6 +43 29 52.8,112.90666666666665,43.498,J073137.59+432952.8,112.906636,43.498001,0.062,0.06,69.0,,3,,0000001010021000,2003.9133,3,0.12622,19.908,0.079,17.889,0.007,16.811,0.005,16.341,0.005,15.956,0.012,0.080162
7,32,23.98,+,40,12,45.0,2MASX J07322401+4012443,2162405,6708,0.116,(R1P),SAB,(r),Sab,2,0.5,(R1P)SAB(r)ab:,7 32 23.98 +40 12 45.0,7 32 23.98 +40 12 45.0,113.09991666666664,40.212500000000006,J073223.97+401244.9,113.099888,40.212494,0.066,0.063,59.0,,3,,0000001010000110,2003.8122,3,0.11628,19.048,0.079,17.236,0.007,16.244,0.006,15.814,0.006,15.462,0.014,0.081472
7,34,57.61,+,41,44,25.9,2MASX J07345763+4144261,2186051,5775,0.081,,SA,(rs),Sb,3,0.0,SA(rs)b:,7 34 57.61 +41 44 25.9,7 34 57.61 +41 44 25.9,113.74004166666664,41.74052777777778,J073457.60+414425.9,113.740029,41.740538,0.061,0.057,60.0,,3,,0000001010000110,2003.8095,3,0.08107,19.442,0.118,17.504,0.008,16.625,0.007,16.193,0.007,15.889,0.022,0.049946
